,dose1_date,city,dose1_all,dose1_all_c,pop_all,dose1_all_c_prcent
502,2020-12-16,Sun Village,0,0,5041,0
503,2020-12-16,Sunrise Village,0,0,1120,0
504,2020-12-16,Temple City,0,0,33037,0
505,2020-12-16,Torrance,0,0,131421,0
506,2020-12-16,Twin Lakes/Oat Mountain,0,0,1460,0
507,2020-12-16,Val Verde,0,0,2907,0
508,2020-12-16,Valencia,0,0,2573,0
509,2020-12-16,Valinda,0,0,19756,0
510,2020-12-16,View Park/Windsor Hills,0,0,10571,0
511,2020-12-16,Walnut,0,0,28130,0
512,2020-12-16,Walnut Park,0,0,13438,0
513,2020-12-16,West Antelope Valley,0,0,1414,0
514,2020-12-16,West Carson,0,0,19327,0
515,2020-12-16,West Covina,0,0,93958,0
516,2020-12-16,West Hollywood,0,2,34698,0
517,2020-12-16,West LA,0,0,898,0
518,2020-12-16,West Puente Valley,0,0,8419,0
519,2020-12-16,West Rancho Dominguez,0,0,1161,0
520,2020-12-16,West Whittier/Los Nietos,0,0,23033,0
521,2020-12-16,Westfield/Academy Hills,0,0,1210,0
522,2020-12-16,Westhills,0,0,805,0
523,2020-12-16,Westlake Village,0,0,7749,0
524,2020-12-16,Westmont,0,0,35234,0
525,2020-12-16,White Fence Farms,0,0,3491,0
526,2020-12-16,Whittier,0,0,78566,0
527,2020-12-16,Willowbrook,0,0,28616,0
528,2020-12-16,Wiseburn,0,0,5152,0
529,2020-12-17,Acton,0,0,7269,0
530,2020-12-17,Agoura Hills,0,0,18920,0
531,2020-12-17,Agua Dulce,0,0,3871,0
532,2020-12-17,Alhambra,1,1,76362,0
533,2020-12-17,Altadena,0,0,38928,0
534,2020-12-17,Anaverde,0,0,1347,0
535,2020-12-17,Angeles National Forest,0,0,1136,0
536,2020-12-17,Arcadia,0,0,60474,0
537,2020-12-17,Artesia,0,0,15043,0
538,2020-12-17,Athens Village,0,0,4048,0
539,2020-12-17,Avalon,0,0,3266,0
540,2020-12-17,Avocado Heights,0,0,5780,0
541,2020-12-17,Azusa,0,0,56925,0
542,2020-12-17,Baldwin Park,0,0,65069,0
543,2020-12-17,Bassett,0,0,12572,0
544,2020-12-17,Bell,0,0,30235,0
545,2020-12-17,Bell Gardens,0,0,35056,0
546,2020-12-17,Bellflower,1,1,65994,0
547,2020-12-17,Beverly Hills,0,0,31578,0
548,2020-12-17,Bouquet Canyon,0,0,953,0
549,2020-12-17,Bradbury,0,0,979,0
