Date,city,dose1_all,dose1_all_c,dose1_all_c_prcent,dose1_youth,dose1_youth_c,dose1_youth_c_prcent,dose1_senior,dose1_senior_c,dose1_senior_c_prcent,pop_all,pop_youth,pop_senior
2021-08-19,East San Gabriel,12,16497,77.8%,1,1302,79.3%,0,3506,84.5%,21191,1641,4148
2021-08-19,Pearblossom/Llano,1,512,29.3%,0,27,22.9%,1,145,32.4%,1748,118,447
2021-08-19,Quartz Hill,17,5598,49.5%,4,332,36.9%,1,1656,78.6%,11319,899,2106
2021-08-19,Rancho Dominguez,7,1867,77.6%,0,107,63.7%,1,440,70.1%,2407,168,628
2021-08-19,Rosewood,2,612,54.0%,0,45,42.1%,0,144,75.4%,1134,107,191
2021-08-19,Rosewood/East Gardena,2,794,74.6%,1,50,56.2%,0,159,74.0%,1064,89,215
2021-08-19,Rosewood/West Rancho Dominguez,7,1619,56.3%,0,152,49.7%,1,287,78.8%,2878,306,364
2021-08-19,Rowland Heights,30,35668,78.3%,0,2294,74.6%,2,8393,87.0%,45524,3075,9648
2021-08-19,San Jose Hills,38,12221,72.3%,9,949,54.8%,0,2062,93.0%,16912,1731,2217
2021-08-19,San Pasqual,0,1520,87.5%,0,107,81.1%,0,353,94.4%,1737,132,374
2021-08-19,Santa Monica Mountains,7,10965,64.4%,2,776,60.1%,1,2865,83.6%,17015,1291,3425
2021-08-19,South San Gabriel,10,6472,81.5%,0,419,73.4%,3,1623,91.6%,7942,571,1772
2021-08-19,South Whittier,72,34371,67.9%,19,2789,56.5%,0,5678,85.1%,50584,4933,6674
2021-08-19,Stevenson Ranch,21,14242,76.0%,6,1666,82.3%,1,1965,98.5%,18736,2024,1994
2021-08-19,Sun Village,13,3039,60.3%,3,277,53.7%,2,525,79.1%,5041,516,664
2021-08-19,Sunrise Village,2,832,74.3%,1,66,67.3%,NA,223,100.0%,1120,98,223
2021-08-19,Twin Lakes/Oat Mountain,5,1009,69.1%,0,57,58.2%,0,177,77.3%,1460,98,229
2021-08-19,Val Verde,1,1807,62.2%,0,162,56.3%,0,292,79.8%,2907,288,366
2021-08-19,Valencia,2,2273,88.3%,0,355,93.2%,NA,158,100.0%,2573,381,158
2021-08-19,Valinda,34,14582,73.8%,5,1141,60.1%,2,2620,94.1%,19756,1900,2783
2021-08-19,View Park/Windsor Hills,13,7502,71.0%,1,410,54.0%,1,2232,84.6%,10571,759,2639
2021-08-19,Walnut Park,23,9794,72.9%,3,879,61.4%,0,1672,97.1%,13438,1432,1722
2021-08-19,West Antelope Valley,2,485,34.3%,0,31,32.3%,1,149,41.2%,1414,96,362
2021-08-19,West Carson,15,15393,79.6%,1,872,68.4%,1,4006,91.5%,19327,1275,4376
2021-08-19,West Puente Valley,15,6201,73.7%,1,490,61.8%,5,1158,92.1%,8419,793,1257
